,support,itemsets
820,0.0005053057099545225,662 60044 University of Manitoba
534,0.0005053057099545225,36 60253 To U of Manitoba
841,0.0005053057099545225,662 60672 Markham
494,0.0005053057099545225,33 30496 Downtown
838,0.0005053057099545225,662 60105 Markham
836,0.0005053057099545225,662 60086 University of Manitoba
526,0.0005053057099545225,36 30841 To U of Manitoba
523,0.0005053057099545225,36 30467 To U of Manitoba
520,0.0005053057099545225,36 10817 To The Maples
831,0.0005053057099545225,662 60079 University of Manitoba
518,0.0005053057099545225,36 10798 To U of Manitoba
785,0.0005053057099545225,60 61115 To Downtown
850,0.0005053057099545225,671 60076 University of Manitoba
851,0.0005053057099545225,671 60078 University of Manitoba
585,0.0005053057099545225,47 10630 Via Regent
458,0.0005053057099545225,24 20189 To Unicity
459,0.0005053057099545225,24 20191 To Unicity
863,0.0005053057099545225,671 61023 University of Manitoba
628,0.0005053057099545225,47 60103 Via Regent
626,0.0005053057099545225,47 40790 To University of Manitoba
861,0.0005053057099545225,671 61021 University of Manitoba
616,0.0005053057099545225,47 40337 To University of Manitoba
755,0.0005053057099545225,60 60131 To University of Manitoba
467,0.0005053057099545225,28 10407 To Downtown
468,0.0005053057099545225,28 10413 To Downtown
471,0.0005053057099545225,28 10422 To Downtown
472,0.0005053057099545225,28 10489 To Downtown
857,0.0005053057099545225,671 60672 Prairie Pointe
771,0.0005053057099545225,60 60156 To Downtown
474,0.0005053057099545225,28 10796 To Downtown
475,0.0005053057099545225,28 20049 To Downtown
476,0.0005053057099545225,28 20053 To Downtown
773,0.0005053057099545225,60 60242 To University of Manitoba
855,0.0005053057099545225,671 60085 University of Manitoba
854,0.0005053057099545225,671 60083 University of Manitoba
853,0.0005053057099545225,671 60082 University of Manitoba
777,0.0005053057099545225,60 60248 To University of Manitoba
852,0.0005053057099545225,671 60080 University of Manitoba
898,0.0005053057099545225,672 60682 University of Manitoba
354,0.0005053057099545225,19 10411 Via Autumnwood
1138,0.0005053057099545225,BLUE 61207 to St. Norbert
91,0.0005053057099545225,11 10572 To Polo Park
89,0.0005053057099545225,11 10571 Via Glenway
274,0.0005053057099545225,15 30248 Airport Via Wellington
85,0.0005053057099545225,11 10570 Via Donwood
82,0.0005053057099545225,11 10568 Via Rothesay
134,0.0005053057099545225,11 10634 Via Donwood
136,0.0005053057099545225,11 10634 Via Rothesay
70,0.0005053057099545225,11 10565 Via Rothesay
68,0.0005053057099545225,11 10565 Via Donwood
67,0.0005053057099545225,11 10565 City Hall
65,0.0005053057099545225,11 10564 Via Glenway
1140,0.0005053057099545225,BLUE 61208 University of Manitoba
51,0.0005053057099545225,11 10561 Via Donwood
48,0.0005053057099545225,11 10558 Via Donwood
982,0.0005053057099545225,77 10369 To Kildonan Place
288,0.0005053057099545225,17 10646 via Amber Trails
290,0.0005053057099545225,17 10754 via Amber Trails
43,0.0005053057099545225,11 10556 Via Glenway
963,0.0005053057099545225,75 60112 To Kildonan Place
308,0.0005053057099545225,18 10628 To Garden City Centre
1150,0.0005053057099545225,BLUE 61211 to St. Norbert
311,0.0005053057099545225,18 10630 To Garden City Centre
314,0.0005053057099545225,18 10633 To Corydon & Edgeland
41,0.0005053057099545225,11 10555 Via Glenway
38,0.0005053057099545225,11 10551 Via Glenway
321,0.0005053057099545225,18 30054 To Corydon & Edgeland
954,0.0005053057099545225,75 60107 Speers- Elizabeth
37,0.0005053057099545225,11 10551 Via Crestview
271,0.0005053057099545225,15 10707 Airport Via Flight Rd.
1035,0.0005053057099545225,78 60211 Polo Park
946,0.0005053057099545225,75 50816 To University of Manitoba
993,0.0005053057099545225,77 20006 To Polo Park
1105,0.0005053057099545225,BLUE 60099 To Downtown
1026,0.0005053057099545225,78 60139 University of Manitoba
1023,0.0005053057099545225,78 60113 University of Manitoba
1032,0.0005053057099545225,78 60205 Polo Park
119,0.0005053057099545225,11 10580 Via Rothesay
1110,0.0005053057099545225,BLUE 60107 To Downtown
222,0.0005053057099545225,14 50551 Via Paddington
127,0.0005053057099545225,11 10583 Via Rothesay
129,0.0005053057099545225,11 10628 Via Rothesay
130,0.0005053057099545225,11 10629 Via Donwood
1010,0.0005053057099545225,77 30815 To Kildonan Place
